elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,0,0,0,6,6,44051
12,0,0,0,6,6,44091
25,0,0,0,6,6,44131
37,0,0,0,6,6,44198
49,0,0,0,6,6,44251
61,0,0,0,6,6,44331
74,0,0,0,6,6,44363
86,0,0,0,6,6,44399
98,0,0,0,6,6,44447
111,0,0,0,6,6,44470
123,0,0,0,6,6,44534
135,0,0,0,6,6,44555
148,0,0,0,6,6,44587
160,0,0,0,6,6,44591
172,0,0,0,6,6,44600
185,0,0,0,6,6,44610
197,0,0,0,6,6,44651
209,0,0,0,6,6,44656
222,0,0,0,6,6,44673
234,0,0,0,6,6,44676
246,0,0,0,6,6,44723
258,0,0,0,6,6,44736
271,0,0,0,6,6,44739
283,0,0,0,6,6,44756
295,0,0,0,6,6,44764
308,0,0,0,6,6,44815
320,0,0,0,6,6,44819
332,0,0,0,6,6,44824
344,0,0,0,6,6,44841
357,0,0,0,6,6,44856
369,0,0,0,6,6,44900
381,0,0,0,6,6,44917
394,0,0,0,6,6,44924
406,0,0,0,6,6,44934
418,0,0,0,6,6,44953
431,0,0,0,6,5,44994
443,0,0,0,5,5,45002
455,0,0,0,5,5,45009
467,0,0,0,5,5,45020
480,0,0,0,5,5,45039
492,0,0,0,5,5,45083
504,0,0,0,5,5,45090
516,0,0,0,5,5,45104
529,0,0,0,5,5,45108
541,0,0,0,5,5,45128
553,0,0,0,4,4,45173
565,0,0,0,4,4,45181
578,0,0,0,4,4,45207
590,0,0,0,4,4,45211
