commands: fault <machine|line> <bearing|overheat|overload|dropout>, clear <machine|line>, burst <line> <fault>, status, quit
connected to mqtt://localhost:1883
simulating 20 machines across 1 line(s), 4 sensors each, 1000 ms sample period, seed linesentry
[2026-09-20T05:33:42.821Z] 72.0 msg/s
[2026-09-20T05:33:52.823Z] 80.0 msg/s
[2026-09-20T05:34:02.823Z] 80.0 msg/s
[2026-09-20T05:34:12.825Z] 80.0 msg/s
[2026-09-20T05:34:22.825Z] 80.0 msg/s
[2026-09-20T05:34:32.826Z] 80.0 msg/s
[2026-09-20T05:34:42.827Z] 80.0 msg/s
[2026-09-20T05:34:52.828Z] 80.0 msg/s
[2026-09-20T05:35:02.829Z] 80.0 msg/s
[2026-09-20T05:35:12.830Z] 80.0 msg/s
[2026-09-20T05:35:22.831Z] 80.0 msg/s
[2026-09-20T05:35:32.831Z] 80.0 msg/s
[2026-09-20T05:35:42.832Z] 80.0 msg/s
[2026-09-20T05:35:52.833Z] 80.0 msg/s
[2026-09-20T05:36:02.834Z] 80.0 msg/s
[2026-09-20T05:36:12.835Z] 80.0 msg/s
[2026-09-20T05:36:22.836Z] 80.0 msg/s
[2026-09-20T05:36:32.837Z] 80.0 msg/s
[2026-09-20T05:36:42.838Z] 80.0 msg/s
[2026-09-20T05:36:52.839Z] 80.0 msg/s
[2026-09-20T05:37:02.840Z] 80.0 msg/s
[2026-09-20T05:37:12.841Z] 80.0 msg/s
[2026-09-20T05:37:22.842Z] 80.0 msg/s
[2026-09-20T05:37:32.843Z] 80.0 msg/s
[2026-09-20T05:37:42.843Z] 80.0 msg/s
[2026-09-20T05:37:52.844Z] 80.0 msg/s
[2026-09-20T05:38:02.845Z] 80.0 msg/s
[2026-09-20T05:38:12.846Z] 80.0 msg/s
[2026-09-20T05:38:22.847Z] 80.0 msg/s
[2026-09-20T05:38:32.848Z] 80.0 msg/s
[2026-09-20T05:38:42.849Z] 80.0 msg/s
[2026-09-20T05:38:52.850Z] 80.0 msg/s
[2026-09-20T05:39:02.851Z] 80.0 msg/s
[2026-09-20T05:39:12.852Z] 80.0 msg/s
[2026-09-20T05:39:22.853Z] 80.0 msg/s
[2026-09-20T05:39:32.853Z] 80.0 msg/s
[2026-09-20T05:39:42.853Z] 80.0 msg/s
[2026-09-20T05:39:52.854Z] 80.0 msg/s
[2026-09-20T05:40:02.855Z] 80.0 msg/s
[2026-09-20T05:40:12.856Z] 80.0 msg/s
[2026-09-20T05:40:22.857Z] 80.0 msg/s
[2026-09-20T05:40:32.858Z] 80.0 msg/s
[2026-09-20T05:40:42.859Z] 80.0 msg/s
[2026-09-20T05:40:52.860Z] 80.0 msg/s
[2026-09-20T05:41:02.861Z] 80.0 msg/s
[2026-09-20T05:41:12.862Z] 80.0 msg/s
[2026-09-20T05:41:22.863Z] 80.0 msg/s
[2026-09-20T05:41:32.863Z] 80.0 msg/s
[2026-09-20T05:41:42.863Z] 80.0 msg/s
[2026-09-20T05:41:52.864Z] 80.0 msg/s
[2026-09-20T05:42:02.864Z] 80.0 msg/s
[2026-09-20T05:42:12.864Z] 80.0 msg/s
[2026-09-20T05:42:22.865Z] 80.0 msg/s
[2026-09-20T05:42:32.866Z] 80.0 msg/s
[2026-09-20T05:42:42.867Z] 80.0 msg/s
[2026-09-20T05:42:52.868Z] 80.0 msg/s
[2026-09-20T05:43:02.868Z] 80.0 msg/s
[2026-09-20T05:43:12.868Z] 80.0 msg/s
[2026-09-20T05:43:22.868Z] 80.0 msg/s
[2026-09-20T05:43:32.868Z] 80.0 msg/s
