elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,0,0,0,2,2,47491
12,0,0,0,2,2,47552
25,0,0,0,2,2,47653
37,0,0,0,2,2,47936
50,0,0,0,2,2,48318
62,0,0,0,2,2,48411
75,0,0,0,2,2,48513
87,0,0,0,1,1,48733
99,0,0,0,1,1,48954
112,0,0,0,1,1,49323
125,0,0,0,1,1,49426
137,2,0,0,1,1,49743
150,0,0,0,1,1,49858
162,0,0,0,1,1,49958
174,0,42,0,1,1,50326
187,0,0,0,1,1,50602
199,0,0,0,1,1,50740
212,0,42,0,1,1,50838
225,8,0,0,1,1,50947
237,0,0,0,1,1,51486
251,0,0,0,1,1,51595
264,0,0,0,1,1,51722
277,10,0,0,1,1,51914
289,0,0,0,1,1,52271
302,0,0,0,1,1,52439
315,0,0,0,1,1,52539
327,0,0,0,1,1,52824
340,9,0,0,1,1,52977
353,0,0,0,1,1,53344
366,0,0,0,1,1,53487
378,0,0,0,1,1,53687
391,0,0,0,1,1,53867
404,0,0,0,1,1,53991
416,0,0,0,1,1,54438
429,0,0,0,1,1,54586
442,0,0,0,1,1,54689
454,0,0,0,1,1,54924
469,0,0,0,1,1,55321
481,0,0,0,1,1,55489
494,0,0,0,1,1,55675
507,0,0,0,1,1,55874
520,0,15,0,1,1,56019
533,0,50,0,1,1,56384
546,2,0,0,1,1,56567
559,0,0,0,1,1,56737
572,2,0,0,1,1,56837
585,0,0,0,1,1,56982
598,0,0,0,1,1,57444
