publishing 300 windows/s for 480s to linesentry-windows, 30 batches/s
  t+  10s  published 2940, failed 0
  t+  20s  published 5960, failed 0
  t+  30s  published 8980, failed 0
  t+  40s  published 12000, failed 0
  t+  50s  published 15000, failed 0
  t+  60s  published 18040, failed 0
  t+  70s  published 21060, failed 0
  t+  80s  published 24070, failed 0
  t+  90s  published 27100, failed 0
  t+ 100s  published 30120, failed 0
  t+ 110s  published 33150, failed 0
  t+ 120s  published 36170, failed 0
  t+ 130s  published 39190, failed 0
  t+ 140s  published 42200, failed 0
  t+ 150s  published 45220, failed 0
  t+ 160s  published 48240, failed 0
  t+ 170s  published 51250, failed 0
  t+ 180s  published 54260, failed 0
  t+ 190s  published 57290, failed 0
  t+ 200s  published 60310, failed 0
  t+ 210s  published 63320, failed 0
  t+ 220s  published 66350, failed 0
  t+ 230s  published 69370, failed 0
  t+ 240s  published 72380, failed 0
  t+ 250s  published 75410, failed 0
  t+ 260s  published 78430, failed 0
  t+ 270s  published 81440, failed 0
  t+ 280s  published 84470, failed 0
  t+ 290s  published 87490, failed 0
  t+ 300s  published 90510, failed 0
  t+ 310s  published 93530, failed 0
  t+ 320s  published 96550, failed 0
  t+ 330s  published 99560, failed 0
  t+ 340s  published 102590, failed 0
  t+ 350s  published 105610, failed 0
  t+ 360s  published 108630, failed 0
  t+ 370s  published 111640, failed 0
  t+ 380s  published 114660, failed 0
  t+ 390s  published 117680, failed 0
  t+ 400s  published 120700, failed 0
  t+ 410s  published 123720, failed 0
  t+ 420s  published 126730, failed 0
  t+ 430s  published 129760, failed 0
  t+ 440s  published 132780, failed 0
  t+ 450s  published 135790, failed 0
  t+ 460s  published 138820, failed 0
  t+ 470s  published 141840, failed 0
  t+ 480s  published 144850, failed 0
finished, published 144920, failed 0
