elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,622,1313,1,1,1,34446
12,2332,3444,0,1,1,34571
24,4186,1313,1,1,1,34766
36,5946,5074,0,1,1,34785
47,7376,4252,0,1,1,34971
59,5946,8924,0,1,1,35128
71,11116,11724,0,1,1,35175
83,7083,8424,0,1,1,35371
96,14686,6570,0,1,1,35541
107,16414,16401,0,1,1,35571
119,15536,13372,0,1,1,35771
131,19814,18024,0,1,1,35811
143,18086,20234,0,1,1,35971
155,20716,19601,0,1,1,36155
167,16414,24214,0,1,1,36172
179,26746,24464,0,1,1,36371
191,28316,25742,0,1,1,36552
203,28316,22674,0,1,1,36636
215,26746,30514,0,1,1,36771
228,31866,29064,0,1,1,36967
240,35306,29708,0,1,1,37064
252,36986,32114,0,1,1,37171
264,33625,35328,0,1,1,37353
276,38716,35754,0,1,1,37372
288,36986,39920,0,1,1,37569
300,40366,41374,0,1,6,37750
312,43866,38474,0,1,6,38178
325,41086,44834,0,4,6,38771
337,43866,45293,0,6,6,39519
350,28526,38224,0,6,6,40149
363,23716,30842,0,6,6,40888
375,18026,23444,0,6,6,41540
388,10836,30842,0,6,6,42304
402,3988,9134,0,6,6,42571
414,3988,390,0,6,6,42870
426,4356,9134,0,6,6,43171
439,0,0,0,6,6,43371
451,0,390,0,6,6,43571
463,0,5,0,6,6,43788
475,0,0,0,6,6,43971
489,0,0,0,6,6,43971
501,0,0,0,6,6,43971
514,0,0,0,6,6,43971
526,0,0,0,6,6,43971
538,0,0,0,6,6,43971
550,0,0,0,6,6,43971
563,0,0,0,6,6,43971
575,0,0,0,6,6,43971
588,0,0,0,6,6,43971
600,0,0,0,6,6,43971
612,0,0,0,6,6,43971
625,0,0,0,6,6,43971
637,0,0,0,6,6,43971
649,0,0,0,6,6,43971
662,0,0,0,6,6,43971
674,0,0,0,6,6,43971
686,0,0,0,6,6,43971
699,0,0,0,6,6,43971
712,0,0,0,6,6,43971
725,0,0,0,6,6,43971
737,0,0,0,6,6,43971
749,0,0,0,6,6,43971
762,0,0,0,6,6,43971
774,0,0,0,6,6,43971
786,0,0,0,6,6,43971
798,0,0,0,6,6,43971
811,0,0,0,6,6,43971
823,0,0,0,6,6,43971
835,0,0,0,6,6,43971
848,0,0,0,6,6,43971
860,0,0,0,6,6,43971
872,0,0,0,6,6,43971
885,0,0,0,6,6,43971
897,0,0,0,6,6,43971
