elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,0,0,0,1,1,57673
13,0,0,0,1,1,57790
26,0,0,0,1,1,57900
39,0,0,0,1,1,58272
52,0,0,0,1,1,58395
65,0,0,0,1,1,58480
78,0,0,0,1,1,58631
91,0,0,0,1,1,58721
104,0,0,0,1,1,58952
117,0,0,0,1,1,59049
130,70,0,0,1,1,59130
143,0,0,0,1,1,59189
156,0,0,0,1,1,59226
169,0,0,0,1,1,59424
182,0,0,0,1,1,59454
195,0,0,0,1,1,59472
208,0,0,0,1,1,59558
221,0,0,0,1,1,59748
234,0,0,0,1,1,59777
247,0,0,0,1,1,59831
260,0,0,0,1,1,59891
273,0,0,0,1,1,59921
286,0,0,0,1,1,60125
299,15,0,0,1,1,60193
