elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows,machines
0,0,0,0,1,1,57673,20
13,0,0,0,1,1,57790,20
26,0,0,0,1,1,57900,20
39,0,0,0,1,1,58272,20
52,0,0,0,1,1,58395,20
65,0,0,0,1,1,58480,20
78,0,0,0,1,1,58631,20
91,0,0,0,1,1,58721,20
104,0,0,0,1,1,58952,20
117,0,0,0,1,1,59049,20
130,70,0,0,1,1,59130,20
143,0,0,0,1,1,59189,20
156,0,0,0,1,1,59226,20
169,0,0,0,1,1,59424,20
182,0,0,0,1,1,59454,20
195,0,0,0,1,1,59472,20
208,0,0,0,1,1,59558,20
221,0,0,0,1,1,59748,20
234,0,0,0,1,1,59777,20
247,0,0,0,1,1,59831,20
260,0,0,0,1,1,59891,20
273,0,0,0,1,1,59921,20
286,0,0,0,1,1,60125,20
299,15,0,0,1,1,60193,20
300,0,0,0,1,1,60567,60
313,0,0,0,1,1,60677,60
327,0,0,0,1,1,60852,60
340,0,0,0,1,1,61024,60
353,16,0,0,1,1,61117,60
367,0,0,0,1,1,61502,60
380,0,0,0,1,1,61557,60
393,16,0,0,1,1,61686,60
406,0,0,0,1,1,62072,60
419,0,0,0,1,1,62449,60
434,0,0,0,1,1,62535,60
447,0,0,0,1,1,62881,60
460,0,0,0,1,1,63048,60
474,0,0,0,1,1,63137,60
487,0,0,0,1,1,63544,60
500,0,0,0,1,1,63610,60
514,0,0,0,1,1,63912,60
527,0,0,0,1,1,64087,60
540,178,0,0,1,1,64444,60
554,76,0,0,1,1,64556,60
567,0,0,0,1,1,64627,60
580,0,0,0,1,1,64889,60
593,77,0,0,1,1,65138,60
600,0,0,0,1,1,65547,100
613,0,148,0,1,1,65823,100
626,77,0,0,1,1,66100,100
640,0,0,0,1,1,66300,100
653,0,0,0,1,1,66484,100
667,42,0,0,1,1,66942,100
682,0,0,0,1,1,67006,100
695,0,0,0,1,1,67280,100
708,0,0,0,1,1,67588,100
722,127,0,0,1,1,67968,100
736,0,0,0,1,1,68115,100
749,0,0,0,1,1,68351,100
764,0,0,0,1,1,68538,100
777,0,0,0,1,1,69173,100
791,0,0,0,1,1,69407,100
807,36,0,0,1,1,69752,100
821,0,0,0,1,1,70069,100
834,0,0,0,1,1,70412,100
850,0,0,0,1,1,70693,100
864,0,0,0,1,1,71038,100
878,134,0,0,1,1,71396,100
891,0,42,0,1,1,71533,100
900,0,0,0,1,1,72096,140
914,156,0,0,1,1,72662,140
928,0,0,0,1,1,72900,140
941,0,0,0,1,1,73279,140
955,0,0,0,1,1,73665,140
969,0,0,0,1,1,74113,140
983,0,0,0,1,1,74396,140
997,0,0,0,1,1,74748,140
1011,146,0,0,1,1,75385,140
1025,291,0,0,1,1,75876,140
1039,0,0,0,1,1,76138,140
1054,43,0,0,1,1,76518,140
1068,0,0,0,1,1,76976,140
1083,0,0,0,1,1,77495,140
1097,0,0,0,1,1,77689,140
1112,0,0,0,1,1,78138,140
1128,0,0,0,1,1,78525,140
1142,0,0,0,1,1,79093,140
1156,0,0,0,1,1,79322,140
1170,0,0,0,1,1,79825,140
1184,0,0,0,1,1,80163,140
1198,0,81,0,1,1,80520,140
1200,169,81,0,1,1,81276,180
1214,0,0,0,1,1,81573,180
1228,0,0,0,1,1,82080,180
1242,0,159,0,1,1,82267,180
1257,138,0,0,1,1,82755,180
1271,0,0,0,1,1,83143,180
1285,0,0,0,1,1,83425,180
1300,0,0,0,1,1,83832,180
1314,0,0,0,1,1,84247,180
1329,0,226,0,1,1,84805,180
1343,0,0,0,1,1,85042,180
1358,0,0,0,1,1,85696,180
1372,0,0,0,1,1,86114,180
1387,106,0,0,1,1,86663,180
1401,0,0,0,1,1,87180,180
1415,0,32,0,1,1,87544,180
1430,292,0,0,1,1,88142,180
1444,0,0,0,1,1,88566,180
1459,0,0,0,1,1,89176,180
1473,0,0,0,1,1,89514,180
1488,0,3,0,1,1,90105,180
1500,0,219,0,1,1,90556,200
1514,0,0,0,1,1,91254,200
1529,0,0,0,1,1,91647,200
1544,0,0,0,1,1,92309,200
1559,0,0,0,1,1,92752,200
1573,137,0,0,1,1,93324,200
1588,22,0,0,1,1,93699,200
1603,285,0,0,1,1,94301,200
1618,0,0,0,1,1,94782,200
1633,0,0,0,1,1,95336,200
1648,202,84,0,1,1,95746,200
1662,0,0,0,1,1,96222,200
1677,0,0,0,1,1,96801,200
1692,0,0,0,1,1,97370,200
1707,0,0,0,1,1,97874,200
1722,239,0,0,1,1,98390,200
1737,278,0,0,1,1,98889,200
1753,239,0,0,1,1,99576,200
1768,0,0,0,1,1,99976,200
1783,0,0,0,1,1,100481,200
1798,0,0,0,1,1,100889,200
