commands: fault <machine|line> <bearing|overheat|overload|dropout>, clear <machine|line>, burst <line> <fault>, status, quit
connected to mqtt://localhost:1883
simulating 800 machines across 4 line(s), 4 sensors each, 1000 ms sample period, seed linesentry
[2026-09-20T06:23:36.122Z] 2880.0 msg/s
[2026-09-20T06:23:46.123Z] 3200.0 msg/s
[2026-09-20T06:23:56.125Z] 3200.0 msg/s
[2026-09-20T06:24:06.125Z] 3200.0 msg/s
[2026-09-20T06:24:16.126Z] 3200.0 msg/s
[2026-09-20T06:24:26.128Z] 3200.0 msg/s
[2026-09-20T06:24:36.128Z] 3200.0 msg/s
[2026-09-20T06:24:46.130Z] 3200.0 msg/s
[2026-09-20T06:24:56.130Z] 3200.0 msg/s
[2026-09-20T06:25:06.131Z] 3200.0 msg/s
[2026-09-20T06:25:16.133Z] 3200.0 msg/s
[2026-09-20T06:25:26.133Z] 3200.0 msg/s
[2026-09-20T06:25:36.135Z] 3200.0 msg/s
[2026-09-20T06:25:46.135Z] 3200.0 msg/s
[2026-09-20T06:25:56.136Z] 3200.0 msg/s
[2026-09-20T06:26:06.137Z] 3200.0 msg/s
[2026-09-20T06:26:16.138Z] 3200.0 msg/s
[2026-09-20T06:26:26.140Z] 3200.0 msg/s
[2026-09-20T06:26:36.140Z] 3200.0 msg/s
[2026-09-20T06:26:46.141Z] 3200.0 msg/s
[2026-09-20T06:26:56.141Z] 3200.0 msg/s
[2026-09-20T06:27:06.142Z] 3200.0 msg/s
[2026-09-20T06:27:16.143Z] 3200.0 msg/s
[2026-09-20T06:27:26.144Z] 3200.0 msg/s
[2026-09-20T06:27:36.145Z] 3200.0 msg/s
[2026-09-20T06:27:46.147Z] 3200.0 msg/s
[2026-09-20T06:27:56.147Z] 3200.0 msg/s
[2026-09-20T06:28:06.148Z] 3200.0 msg/s
[2026-09-20T06:28:16.149Z] 3200.0 msg/s
[2026-09-20T06:28:26.151Z] 3200.0 msg/s
[2026-09-20T06:28:36.151Z] 3200.0 msg/s
