elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,0,0,0,1,1,0
10,0,0,0,1,1,0
20,0,0,0,1,1,0
30,0,0,0,1,1,0
40,0,0,0,1,1,0
50,0,0,0,1,1,0
60,0,0,0,1,1,0
70,0,0,0,1,1,0
80,0,0,0,1,1,0
90,0,0,0,1,1,0
100,0,0,0,1,1,0
110,849,2047,0,1,1,0
120,419,0,0,1,1,0
130,1450,1066,0,1,1,0
140,1544,3869,0,1,1,0
150,1070,2047,0,1,1,0
160,419,6511,0,1,1,0
170,1033,5947,0,1,1,0
180,922,6155,0,1,1,0
190,215,6899,0,1,1,0
200,1802,9670,0,1,1,0
210,1759,6511,0,1,1,0
220,1550,8642,0,1,1,0
230,1050,10672,0,1,1,0
240,0,10416,0,1,1,0
250,1613,10416,0,1,1,0
260,1625,13148,0,1,1,0
270,572,13640,0,1,1,0
280,1625,15261,0,1,1,0
290,572,12508,0,1,1,0
300,997,14234,0,1,1,0
310,694,17392,0,1,1,0
320,475,15756,0,1,1,0
330,973,16472,0,1,1,0
340,0,19865,0,1,1,0
350,0,18235,0,1,1,0
360,0,17177,0,1,1,0
370,0,15008,0,1,1,0
381,49,13798,0,1,1,0
391,0,13208,0,1,1,0
401,0,13578,0,1,1,0
411,0,16077,0,1,1,0
421,0,15008,0,1,6,0
431,0,13798,0,1,6,0
441,0,8278,0,1,6,0
451,0,10768,0,1,6,0
462,0,7778,0,1,6,0
472,0,6788,0,1,6,0
482,0,3798,0,1,6,0
492,0,2658,0,1,6,0
502,0,4768,0,1,6,0
