commands: fault <machine|line> <bearing|overheat|overload|dropout>, clear <machine|line>, burst <line> <fault>, status, quit
connected to mqtt://localhost:1883
simulating 20 machines across 1 line(s), 4 sensors each, 1000 ms sample period, seed linesentry
[2026-09-22T07:22:50.903Z] 72.0 msg/s
[2026-09-22T07:23:00.905Z] 80.0 msg/s
[2026-09-22T07:23:10.906Z] 80.0 msg/s
[2026-09-22T07:23:20.906Z] 80.0 msg/s
[2026-09-22T07:23:30.908Z] 80.0 msg/s
[2026-09-22T07:23:40.908Z] 80.0 msg/s
[2026-09-22T07:23:50.909Z] 80.0 msg/s
[2026-09-22T07:24:00.910Z] 80.0 msg/s
[2026-09-22T07:24:10.912Z] 80.0 msg/s
[2026-09-22T07:24:20.914Z] 80.0 msg/s
[2026-09-22T07:24:30.915Z] 80.0 msg/s
[2026-09-22T07:24:40.916Z] 80.0 msg/s
[2026-09-22T07:24:50.917Z] 80.0 msg/s
[2026-09-22T07:25:00.918Z] 80.0 msg/s
[2026-09-22T07:25:10.919Z] 80.0 msg/s
[2026-09-22T07:25:20.920Z] 80.0 msg/s
[2026-09-22T07:25:30.921Z] 80.0 msg/s
[2026-09-22T07:25:40.923Z] 80.0 msg/s
[2026-09-22T07:25:50.924Z] 80.0 msg/s
[2026-09-22T07:26:00.924Z] 80.0 msg/s
[2026-09-22T07:26:10.925Z] 80.0 msg/s
[2026-09-22T07:26:20.927Z] 80.0 msg/s
[2026-09-22T07:26:30.927Z] 80.0 msg/s
[2026-09-22T07:26:40.928Z] 80.0 msg/s
[2026-09-22T07:26:50.929Z] 80.0 msg/s
[2026-09-22T07:27:00.930Z] 80.0 msg/s
[2026-09-22T07:27:10.930Z] 80.0 msg/s
[2026-09-22T07:27:20.931Z] 80.0 msg/s
[2026-09-22T07:27:30.932Z] 80.0 msg/s
[2026-09-22T07:27:40.933Z] 80.0 msg/s
[2026-09-22T07:27:50.934Z] 80.0 msg/s
[2026-09-22T07:28:00.935Z] 80.0 msg/s
[2026-09-22T07:28:10.936Z] 80.0 msg/s
[2026-09-22T07:28:20.937Z] 80.0 msg/s
[2026-09-22T07:28:30.938Z] 80.0 msg/s
[2026-09-22T07:28:40.939Z] 80.0 msg/s
[2026-09-22T07:28:50.940Z] 80.0 msg/s
[2026-09-22T07:29:00.941Z] 80.0 msg/s
[2026-09-22T07:29:10.942Z] 80.0 msg/s
[2026-09-22T07:29:20.943Z] 80.0 msg/s
[2026-09-22T07:29:30.944Z] 80.0 msg/s
[2026-09-22T07:29:40.945Z] 80.0 msg/s
[2026-09-22T07:29:50.946Z] 80.0 msg/s
[2026-09-22T07:30:00.947Z] 80.0 msg/s
[2026-09-22T07:30:10.948Z] 80.0 msg/s
[2026-09-22T07:30:20.949Z] 80.0 msg/s
[2026-09-22T07:30:30.949Z] 80.0 msg/s
[2026-09-22T07:30:40.950Z] 80.0 msg/s
[2026-09-22T07:30:50.951Z] 80.0 msg/s
[2026-09-22T07:31:00.952Z] 80.0 msg/s
[2026-09-22T07:31:10.953Z] 80.0 msg/s
[2026-09-22T07:31:20.953Z] 80.0 msg/s
[2026-09-22T07:31:30.953Z] 80.0 msg/s
[2026-09-22T07:31:40.953Z] 80.0 msg/s
[2026-09-22T07:31:50.954Z] 80.0 msg/s
[2026-09-22T07:32:00.955Z] 80.0 msg/s
[2026-09-22T07:32:10.956Z] 80.0 msg/s
[2026-09-22T07:32:20.956Z] 80.0 msg/s
[2026-09-22T07:32:30.956Z] 80.0 msg/s
[2026-09-22T07:32:40.957Z] 80.0 msg/s
