elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,0,0,0,6,1,0
12,0,0,0,6,1,0
26,0,0,0,6,1,0
36,137,0,0,6,1,0
46,0,0,0,6,1,0
56,0,0,0,6,1,0
66,0,0,0,6,1,0
76,0,0,0,6,1,0
86,0,0,0,6,1,0
96,0,0,0,6,1,0
106,0,0,0,6,1,0
116,0,0,0,6,1,0
126,0,0,0,6,1,0
136,231,3,0,6,1,0
146,0,0,0,6,1,0
156,0,3,0,6,1,0
166,0,0,0,6,1,0
176,0,0,0,6,1,0
186,0,0,0,6,1,0
198,0,0,0,6,1,0
211,0,0,0,6,1,0
221,0,0,0,6,1,0
231,0,0,0,6,1,0
242,0,0,0,6,1,0
252,0,0,0,6,1,0
262,0,0,0,6,1,0
272,0,0,0,6,1,0
283,0,0,0,6,1,0
293,0,0,0,6,1,0
303,0,0,0,6,1,0
313,0,0,0,6,1,0
323,0,0,0,6,1,0
333,0,0,0,6,1,0
343,0,0,0,6,1,0
353,0,0,0,6,1,0
363,0,0,0,6,1,0
373,0,0,0,6,1,0
383,0,0,0,6,1,0
393,0,0,0,6,1,0
403,0,0,0,6,1,0
413,0,0,0,6,1,0
423,0,0,0,6,1,0
433,0,0,0,6,1,0
443,0,0,0,6,1,0
453,0,0,0,6,1,0
463,0,0,0,6,1,0
473,0,0,0,6,1,0
483,0,0,0,6,1,0
493,0,0,0,6,1,0
503,0,0,0,6,1,0
513,0,0,0,6,1,0
523,0,0,0,6,1,0
533,0,0,0,6,1,0
543,0,0,0,6,1,0
553,0,0,0,6,1,0
563,0,0,0,6,1,0
573,0,0,0,6,1,0
583,0,0,0,6,1,0
593,0,0,0,6,1,0
