plant load: 6000 machines, filter deadband, heartbeat 60s, warm-up 90s, then 600s published to linesentry-windows
  warm-up    t -90s  forwarded 0, sent 0, failed 0, queued 0, judged 0, worst tick lag 0ms
  warm-up    t -80s  forwarded 0, sent 0, failed 0, queued 0, judged 800, worst tick lag 0ms
  warm-up    t -70s  forwarded 0, sent 0, failed 0, queued 0, judged 5600, worst tick lag 0ms
  warm-up    t -60s  forwarded 0, sent 0, failed 0, queued 0, judged 14400, worst tick lag 0ms
  warm-up    t -50s  forwarded 0, sent 0, failed 0, queued 0, judged 27200, worst tick lag 0ms
  warm-up    t -40s  forwarded 0, sent 0, failed 0, queued 0, judged 44000, worst tick lag 0ms
  warm-up    t -30s  forwarded 0, sent 0, failed 0, queued 0, judged 64800, worst tick lag 0ms
  warm-up    t -20s  forwarded 0, sent 0, failed 0, queued 0, judged 88800, worst tick lag 0ms
  warm-up    t -10s  forwarded 0, sent 0, failed 0, queued 0, judged 112800, worst tick lag 0ms
  publishing t+   0s  forwarded 0, sent 0, failed 0, queued 0, judged 136800, worst tick lag 1ms
  publishing t+  10s  forwarded 4206, sent 4206, failed 0, queued 0, judged 160800, worst tick lag 2ms
  publishing t+  20s  forwarded 5356, sent 5356, failed 0, queued 0, judged 184800, worst tick lag 2ms
  publishing t+  30s  forwarded 13528, sent 13528, failed 0, queued 0, judged 208800, worst tick lag 2ms
  publishing t+  40s  forwarded 19187, sent 19187, failed 0, queued 0, judged 232800, worst tick lag 2ms
  publishing t+  50s  forwarded 23423, sent 23423, failed 0, queued 0, judged 256800, worst tick lag 2ms
  publishing t+  60s  forwarded 27014, sent 27014, failed 0, queued 0, judged 280800, worst tick lag 2ms
  publishing t+  70s  forwarded 32520, sent 32520, failed 0, queued 0, judged 304800, worst tick lag 2ms
  publishing t+  80s  forwarded 35828, sent 35828, failed 0, queued 0, judged 328800, worst tick lag 2ms
  publishing t+  90s  forwarded 37642, sent 37642, failed 0, queued 0, judged 352800, worst tick lag 2ms
  publishing t+ 100s  forwarded 46062, sent 46062, failed 0, queued 0, judged 376800, worst tick lag 2ms
  publishing t+ 110s  forwarded 49399, sent 49399, failed 0, queued 0, judged 400800, worst tick lag 2ms
  publishing t+ 120s  forwarded 51801, sent 51801, failed 0, queued 0, judged 424800, worst tick lag 2ms
  publishing t+ 130s  forwarded 58037, sent 58037, failed 0, queued 0, judged 448800, worst tick lag 2ms
  publishing t+ 140s  forwarded 58783, sent 58783, failed 0, queued 0, judged 472800, worst tick lag 2ms
  publishing t+ 150s  forwarded 63487, sent 63487, failed 0, queued 0, judged 496800, worst tick lag 2ms
  publishing t+ 160s  forwarded 64164, sent 64164, failed 0, queued 0, judged 520800, worst tick lag 2ms
  publishing t+ 170s  forwarded 72078, sent 72078, failed 0, queued 0, judged 544800, worst tick lag 2ms
  publishing t+ 180s  forwarded 77381, sent 77381, failed 0, queued 0, judged 568800, worst tick lag 2ms
  publishing t+ 190s  forwarded 78009, sent 78009, failed 0, queued 0, judged 592800, worst tick lag 2ms
  publishing t+ 200s  forwarded 84240, sent 84239, failed 0, queued 0, judged 616800, worst tick lag 2ms
  publishing t+ 210s  forwarded 86879, sent 86878, failed 0, queued 0, judged 640800, worst tick lag 2ms
  publishing t+ 220s  forwarded 90613, sent 90612, failed 0, queued 0, judged 664800, worst tick lag 2ms
  publishing t+ 230s  forwarded 92641, sent 92640, failed 0, queued 0, judged 688800, worst tick lag 2ms
  publishing t+ 240s  forwarded 103164, sent 101913, failed 0, queued 620, judged 712800, worst tick lag 2ms
  publishing t+ 250s  forwarded 106015, sent 106014, failed 0, queued 0, judged 736800, worst tick lag 2ms
  publishing t+ 260s  forwarded 113651, sent 113651, failed 0, queued 0, judged 760800, worst tick lag 2ms
  publishing t+ 270s  forwarded 115966, sent 115966, failed 0, queued 0, judged 784800, worst tick lag 2ms
  publishing t+ 280s  forwarded 117085, sent 117085, failed 0, queued 0, judged 808800, worst tick lag 2ms
  publishing t+ 290s  forwarded 119854, sent 119854, failed 0, queued 0, judged 832800, worst tick lag 2ms
  publishing t+ 300s  forwarded 121492, sent 121492, failed 0, queued 0, judged 856800, worst tick lag 2ms
  publishing t+ 310s  forwarded 132391, sent 132391, failed 0, queued 0, judged 880800, worst tick lag 2ms
  publishing t+ 320s  forwarded 138886, sent 138886, failed 0, queued 0, judged 904800, worst tick lag 2ms
  publishing t+ 330s  forwarded 141288, sent 141288, failed 0, queued 0, judged 928800, worst tick lag 2ms
  publishing t+ 340s  forwarded 142636, sent 142636, failed 0, queued 0, judged 952800, worst tick lag 2ms
  publishing t+ 350s  forwarded 145265, sent 145265, failed 0, queued 0, judged 976800, worst tick lag 2ms
  publishing t+ 360s  forwarded 147137, sent 147137, failed 0, queued 0, judged 1000800, worst tick lag 2ms
  publishing t+ 370s  forwarded 157872, sent 157872, failed 0, queued 0, judged 1024800, worst tick lag 2ms
  publishing t+ 380s  forwarded 158551, sent 158551, failed 0, queued 0, judged 1048800, worst tick lag 2ms
  publishing t+ 390s  forwarded 166649, sent 166649, failed 0, queued 0, judged 1072800, worst tick lag 2ms
  publishing t+ 400s  forwarded 168538, sent 168538, failed 0, queued 0, judged 1096800, worst tick lag 2ms
  publishing t+ 410s  forwarded 171324, sent 171324, failed 0, queued 0, judged 1120800, worst tick lag 2ms
  publishing t+ 420s  forwarded 173909, sent 173909, failed 0, queued 0, judged 1144800, worst tick lag 2ms
  publishing t+ 430s  forwarded 185370, sent 185370, failed 0, queued 0, judged 1168800, worst tick lag 2ms
  publishing t+ 440s  forwarded 187149, sent 187149, failed 0, queued 0, judged 1192800, worst tick lag 2ms
  publishing t+ 450s  forwarded 194991, sent 194991, failed 0, queued 0, judged 1216800, worst tick lag 2ms
  publishing t+ 460s  forwarded 196775, sent 196775, failed 0, queued 0, judged 1240800, worst tick lag 2ms
  publishing t+ 470s  forwarded 199759, sent 199759, failed 0, queued 0, judged 1264800, worst tick lag 2ms
  publishing t+ 480s  forwarded 201873, sent 201873, failed 0, queued 0, judged 1288800, worst tick lag 2ms
  publishing t+ 490s  forwarded 211633, sent 211633, failed 0, queued 0, judged 1312800, worst tick lag 2ms
  publishing t+ 500s  forwarded 213206, sent 213206, failed 0, queued 0, judged 1336800, worst tick lag 2ms
  publishing t+ 510s  forwarded 220294, sent 220294, failed 0, queued 0, judged 1360800, worst tick lag 2ms
  publishing t+ 520s  forwarded 222086, sent 222086, failed 0, queued 0, judged 1384800, worst tick lag 2ms
  publishing t+ 530s  forwarded 225209, sent 225209, failed 0, queued 0, judged 1408800, worst tick lag 2ms
  publishing t+ 540s  forwarded 225852, sent 225852, failed 0, queued 0, judged 1432800, worst tick lag 2ms
  publishing t+ 550s  forwarded 227807, sent 227807, failed 0, queued 0, judged 1456800, worst tick lag 2ms
  publishing t+ 560s  forwarded 238752, sent 238752, failed 0, queued 0, judged 1480800, worst tick lag 2ms
  publishing t+ 570s  forwarded 245500, sent 245500, failed 0, queued 0, judged 1504800, worst tick lag 2ms
  publishing t+ 580s  forwarded 247320, sent 247320, failed 0, queued 0, judged 1528800, worst tick lag 2ms
  publishing t+ 590s  forwarded 250505, sent 250505, failed 0, queued 0, judged 1552800, worst tick lag 2ms
finished: forwarded 252767 over 600s, 421.28/s, 0.07021/machine/s, sent 252767, failed 0, worst tick lag 2ms
reasons {"changed":88195,"heartbeat":164572}
