elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,0,0,0,1,1,0
10,0,0,0,1,1,0
20,0,0,0,1,1,0
30,0,0,0,1,1,0
40,0,0,0,1,1,0
50,0,0,0,1,1,0
60,0,0,0,1,1,0
70,0,0,0,1,1,0
80,0,0,0,1,1,0
90,0,0,0,1,1,0
100,3300,0,0,1,1,0
110,188,4387,0,1,1,0
120,0,16198,0,1,1,0
130,3956,4057,0,1,1,0
140,16554,16198,0,1,1,0
150,16633,19394,0,1,1,0
160,17970,21965,0,1,1,0
170,18534,22245,0,1,1,0
180,16554,33357,0,1,1,0
190,22708,39060,0,1,1,0
200,30300,36133,0,1,1,0
210,28515,39060,0,1,1,0
220,30047,29593,0,1,1,0
230,34496,40312,0,1,1,0
240,35690,47839,0,1,1,0
250,35690,44855,0,1,1,0
260,34179,47839,0,1,1,0
270,42947,59043,0,1,1,0
280,43741,58243,0,1,1,0
290,47999,64910,0,1,1,0
300,42947,58461,0,1,1,0
310,42699,67124,0,1,1,0
320,41464,58243,0,1,1,0
331,58574,79756,0,1,1,0
341,58574,67124,0,1,1,0
352,64186,79596,0,1,1,0
362,63000,73159,0,1,1,0
374,56023,89526,0,1,1,0
384,62777,87518,0,1,1,0
395,71523,99903,0,5,5,0
405,62777,89526,0,5,6,0
415,71523,103130,0,5,6,0
425,63916,90094,0,5,6,0
435,71936,101088,0,5,6,0
445,51847,103734,0,5,6,0
455,53649,105306,0,5,6,0
465,51847,99907,0,5,6,0
475,44631,105306,0,5,6,0
485,53649,104642,0,5,6,0
495,31774,101775,0,6,6,0
505,28264,99653,0,6,6,0
515,25519,104642,0,6,6,0
525,25720,106294,0,6,6,0
535,38278,99653,0,6,6,0
545,19229,106675,0,6,6,0
555,10805,105399,0,6,6,0
565,16928,94257,0,6,6,0
576,4552,94257,0,6,6,0
586,4552,96797,0,6,6,0
597,1810,90490,0,6,6,0
607,0,83534,0,6,6,0
618,0,81283,0,6,6,0
628,0,83534,0,6,6,0
639,1810,81283,0,6,6,0
649,1921,83612,0,6,6,0
659,0,81984,0,6,6,0
669,0,78420,0,6,6,0
680,1921,81984,0,6,6,0
690,0,73893,0,6,6,0
701,662,78342,0,6,6,0
711,0,78742,0,6,6,0
722,0,73893,0,6,6,0
732,0,60767,0,6,6,0
742,0,51433,0,6,6,0
752,0,51433,0,6,6,0
763,0,56033,0,6,6,0
773,0,33673,0,6,6,0
784,0,26433,0,6,6,0
794,0,27793,0,6,6,0
804,0,26433,0,6,6,0
815,0,19383,0,6,6,0
825,0,0,0,6,6,0
836,0,0,0,6,6,0
847,0,0,0,6,6,0
858,0,0,0,6,6,0
870,0,0,0,6,6,0
