arm,filter,error_bound_sigma,heartbeat_ms,forwarded_per_second,forwarded_per_machine_second,dropped_pct,content_forwards,heartbeat_forwards,safety_forwards,consumer_coverage_pct,windows_evaluated_per_second,reconstruction_error_p95,reconstruction_error_max,events,faults_matched,faults_missed,events_on_healthy_machines,detection_delay_p50,detection_delay_p95,machines_per_task
deadband/hb60,deadband,,60000,15.27,0.07634,80.9,8726,17955,0,19.2,15.27,,,111,16,0,57,0,3,1327
deadband/hb150,deadband,,150000,8.2,0.04101,89.7,7908,6055,0,10.3,8.2,,,107,16,0,49,0,3,2470
deadband/hb300,deadband,,300000,6.63,0.03316,91.7,8668,2471,0,8.4,6.63,,,104,16,0,47,0,3,3055
deadband/hb600,deadband,,600000,5.92,0.0296,92.6,8683,1174,0,7.5,5.92,,,104,16,0,47,0,3,3422
dual-prediction/0.25sigma/hb60,dual-prediction,0.25,60000,22.3,0.11152,72.1,28939,9424,185,100,79.02,0.2301,0.25,136,16,0,85,0,3,908
dual-prediction/0.5sigma/hb60,dual-prediction,0.5,60000,15.99,0.07997,80,11639,15364,187,100,78.92,0.4312,0.5,151,16,0,97,0,3,1267
dual-prediction/0.75sigma/hb60,dual-prediction,0.75,60000,14.62,0.07308,81.7,6018,18505,187,100,78.74,0.5834,0.75,155,16,0,102,0,3,1386
dual-prediction/1sigma/hb60,dual-prediction,1,60000,14.16,0.07082,82.3,2658,21049,187,100,78.41,0.6733,1,153,16,0,99,0,3,1430
dual-prediction/1.5sigma/hb60,dual-prediction,1.5,60000,14.03,0.07016,82.5,542,22927,187,100,78.32,0.706,1.4982,155,16,0,101,0,3,1444
dual-prediction/2sigma/hb60,dual-prediction,2,60000,13.98,0.06992,82.5,356,23028,187,100,78.23,0.7126,2,155,16,0,101,0,3,1449
dual-prediction/3sigma/hb60,dual-prediction,3,60000,13.96,0.06978,82.6,245,23088,187,100,78.22,0.7142,2.9866,153,16,0,101,0,4,1452
dual-prediction/4sigma/hb60,dual-prediction,4,60000,13.94,0.0697,82.6,198,23106,187,100,78.24,0.7161,3.9418,149,16,0,101,1,3,1453
