arm,filter,error_bound_sigma,heartbeat_ms,forwarded_per_second,forwarded_per_machine_second,dropped_pct,content_forwards,heartbeat_forwards,safety_forwards,consumer_coverage_pct,windows_evaluated_per_second,reconstruction_error_p95,reconstruction_error_max,events,faults_matched,faults_missed,events_on_healthy_machines,detection_delay_p50,detection_delay_p95,machines_per_task
deadband/hb60,deadband,,60000,15.26,0.07632,80.9,8741,17934,0,19.2,15.26,,,106,16,0,50,0,3,2096
deadband/hb150,deadband,,150000,8.24,0.04118,89.7,8036,5988,0,10.4,8.24,,,92,16,0,34,0,3,3886
deadband/hb300,deadband,,300000,6.66,0.03329,91.7,8730,2454,0,8.4,6.66,,,94,16,0,37,0,3,4806
deadband/hb600,deadband,,600000,5.95,0.02974,92.6,8733,1174,0,7.6,5.95,,,94,16,0,37,0,3,5380
dual-prediction/0.25sigma/hb60,dual-prediction,0.25,60000,22.38,0.11189,72,29032,9455,193,100,79.01,0.2298,0.25,131,16,0,77,0,3,1430
dual-prediction/0.5sigma/hb60,dual-prediction,0.5,60000,16.02,0.08009,80,11696,15343,194,100,78.88,0.4308,0.5,142,16,0,86,0,3,1998
dual-prediction/0.75sigma/hb60,dual-prediction,0.75,60000,14.64,0.07318,81.7,6042,18505,198,100,78.79,0.585,0.75,143,16,0,90,0,3,2186
dual-prediction/1sigma/hb60,dual-prediction,1,60000,14.18,0.07088,82.3,2619,21099,197,100,78.39,0.6729,1,149,16,0,94,0,3,2257
dual-prediction/1.5sigma/hb60,dual-prediction,1.5,60000,14.03,0.07014,82.5,530,22923,198,100,78.28,0.7045,1.5,150,16,0,95,0,3,2281
dual-prediction/2sigma/hb60,dual-prediction,2,60000,13.99,0.06997,82.5,359,23031,198,100,78.24,0.7106,2,150,16,0,94,0,3,2287
dual-prediction/3sigma/hb60,dual-prediction,3,60000,13.96,0.06978,82.6,241,23081,198,100,78.22,0.7117,2.9978,146,16,0,94,0,4,2293
dual-prediction/4sigma/hb60,dual-prediction,4,60000,13.94,0.06971,82.6,192,23104,198,100,78.24,0.7135,3.9268,142,16,0,94,1,3,2295
