arm,filter,error_bound_sigma,heartbeat_ms,forwarded_per_second,forwarded_per_machine_second,dropped_pct,content_forwards,heartbeat_forwards,safety_forwards,consumer_coverage_pct,windows_evaluated_per_second,reconstruction_error_p95,reconstruction_error_max,events,faults_matched,faults_missed,events_on_healthy_machines,detection_delay_p50,detection_delay_p95,machines_per_task
deadband/hb60,deadband,,60000,15.06,0.07528,81.2,8243,18056,0,18.9,15.06,,,51,0,0,51,,,1339
deadband/hb150,deadband,,150000,7.97,0.03986,90,7513,6037,0,10,7.97,,,34,0,0,34,,,2529
deadband/hb300,deadband,,300000,6.4,0.032,92,8232,2487,0,8.1,6.4,,,37,0,0,37,,,3150
deadband/hb600,deadband,,600000,5.69,0.02843,92.9,8233,1202,0,7.2,5.69,,,37,0,0,37,,,3545
dual-prediction/0.25sigma/hb60,dual-prediction,0.25,60000,22.08,0.11038,72.4,28594,9542,0,100,79.02,0.2298,0.25,79,0,0,79,,,913
dual-prediction/0.5sigma/hb60,dual-prediction,0.5,60000,15.73,0.07865,80.3,11269,15445,0,100,78.89,0.4306,0.5,89,0,0,89,,,1282
dual-prediction/0.75sigma/hb60,dual-prediction,0.75,60000,14.36,0.07181,82,5625,18621,4,100,78.77,0.5839,0.75,93,0,0,93,,,1404
dual-prediction/1sigma/hb60,dual-prediction,1,60000,13.91,0.06957,82.6,2206,21235,4,100,78.37,0.6688,1,98,0,0,98,,,1449
dual-prediction/1.5sigma/hb60,dual-prediction,1.5,60000,13.8,0.069,82.8,174,23060,5,100,78.27,0.699,1.5,100,0,0,100,,,1461
dual-prediction/2sigma/hb60,dual-prediction,2,60000,13.78,0.06891,82.8,38,23166,5,100,78.23,0.7022,2,100,0,0,100,,,1463
dual-prediction/3sigma/hb60,dual-prediction,3,60000,13.78,0.06889,82.8,8,23188,5,100,78.22,0.7019,2.9375,100,0,0,100,,,1463
dual-prediction/4sigma/hb60,dual-prediction,4,60000,13.78,0.06889,82.8,2,23194,5,100,78.22,0.7023,3.625,100,0,0,100,,,1463
dual-prediction/0.25sigma/hb150,dual-prediction,0.25,150000,18,0.09,77.5,29518,1282,0,100,64.91,0.2309,0.25,49,0,0,49,,,1120
dual-prediction/0.5sigma/hb150,dual-prediction,0.5,150000,9.88,0.04938,87.7,12742,3431,3,100,52.23,0.4464,0.5,61,0,0,61,,,2041
dual-prediction/0.75sigma/hb150,dual-prediction,0.75,150000,7.88,0.03939,90.2,7698,4877,4,100,46.14,0.6461,0.75,68,0,0,68,,,2559
dual-prediction/1sigma/hb150,dual-prediction,1,150000,7.34,0.0367,90.8,6299,5306,7,100,45,0.8516,1,98,0,0,98,,,2747
dual-prediction/1.5sigma/hb150,dual-prediction,1.5,150000,6.42,0.0321,92,2876,7060,20,100,39.49,1.2153,1.5,145,0,0,145,,,3140
dual-prediction/2sigma/hb150,dual-prediction,2,150000,6.23,0.03116,92.2,2298,7301,17,100,38.25,1.4684,2,169,0,0,169,,,3235
dual-prediction/3sigma/hb150,dual-prediction,3,150000,5.94,0.02969,92.6,1119,7952,19,100,36.23,1.9442,3,168,0,0,168,,,3395
dual-prediction/4sigma/hb150,dual-prediction,4,150000,5.81,0.02903,92.7,161,8671,19,100,35.31,2.025,4,166,0,0,166,,,3472
dual-prediction/0.25sigma/hb300,dual-prediction,0.25,300000,17.41,0.08704,78.2,29488,246,0,100,61.68,0.2311,0.25,48,0,0,48,,,1158
dual-prediction/0.5sigma/hb300,dual-prediction,0.5,300000,8.8,0.04399,89,13379,854,3,100,45.24,0.4507,0.5,53,0,0,53,,,2291
dual-prediction/0.75sigma/hb300,dual-prediction,0.75,300000,6.26,0.03132,92.2,8277,1390,7,100,35.73,0.6689,0.75,63,0,0,63,,,3219
dual-prediction/1sigma/hb300,dual-prediction,1,300000,5.71,0.02856,92.9,6942,1726,12,100,33.84,0.8848,1,97,0,0,97,,,3530
dual-prediction/1.5sigma/hb300,dual-prediction,1.5,300000,4.3,0.02149,94.6,3876,2237,22,100,24.63,1.3067,1.5,159,0,0,159,,,4691
dual-prediction/2sigma/hb300,dual-prediction,2,300000,3.94,0.01968,95.1,2789,2664,31,100,22.18,1.6287,2,197,0,0,197,,,5123
dual-prediction/3sigma/hb300,dual-prediction,3,300000,3.77,0.01883,95.3,2157,2981,40,100,21.02,2.3323,3,214,0,0,214,,,5354
dual-prediction/4sigma/hb300,dual-prediction,4,300000,3.69,0.01846,95.4,1885,3110,52,100,20.52,3.0074,4,198,0,0,198,,,5459
dual-prediction/0.25sigma/hb600,dual-prediction,0.25,600000,17.24,0.08618,78.5,29385,38,0,100,60.65,0.2312,0.25,48,0,0,48,,,1170
dual-prediction/0.5sigma/hb600,dual-prediction,0.5,600000,8.43,0.04215,89.5,13383,190,2,100,42.79,0.4517,0.5,45,0,0,45,,,2391
dual-prediction/0.75sigma/hb600,dual-prediction,0.75,600000,5.72,0.02858,92.9,8340,340,7,100,32.02,0.674,0.75,69,0,0,69,,,3528
dual-prediction/1sigma/hb600,dual-prediction,1,600000,5.09,0.02545,93.6,7062,488,11,100,29.5,0.8971,1,85,0,0,85,,,3961
dual-prediction/1.5sigma/hb600,dual-prediction,1.5,600000,3.59,0.01794,95.5,4155,681,23,100,19.67,1.3408,1.5,170,0,0,170,,,5618
dual-prediction/2sigma/hb600,dual-prediction,2,600000,3.1,0.01552,96.1,3098,855,34,100,16.36,1.747,2,199,0,0,199,,,6495
dual-prediction/3sigma/hb600,dual-prediction,3,600000,2.77,0.01387,96.5,2247,1076,69,100,14.07,2.572,3,185,0,0,185,,,7269
dual-prediction/4sigma/hb600,dual-prediction,4,600000,2.61,0.01303,96.7,1766,1242,84,100,12.91,3.3625,4,174,0,0,174,,,7734
